Player,bbref_id,PlayerID,status,pos,height,weight,num,code,team_id,team_name,birthdate,age,exp,school,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Brandon Goodwin,goodwbr01,1629164,,G,72,180,0,ATL,1610612737,Atlanta Hawks,10/2/1995,24,1,Florida Gulf Coast,2020,937,430,-1.390798844,-0.4291725655,-1.819971409,-7.822071393,0.8948746866,-6.927196707,-2.749536107,-0.1041141944,-2.853650302,-0.02262557372,-0.02262557372,0,-1.944504798,-1.395948552,-3.340453351,-0.5107278294
Bruno Fernando,fernabr01,1628981,,C,81,233,24,ATL,1610612737,Atlanta Hawks,8/15/1998,21,0,Maryland,2020,1542,713,-2.894177815,-1.435882614,-4.330060429,-2.912454476,2.347977853,-0.5644766229,-3.052756834,-0.6601654518,-3.712922286,-0.3496560818,-0.3496560818,0,-2.958209317,-1.840294699,-4.798504016,-0.183074
Cam Reddish,reddica01,1629629,,F-G,80,218,22,ATL,1610612737,Atlanta Hawks,9/1/1999,20,0,Duke,2020,3412,1551,-3.25244042,-0.07756920531,-3.330009626,-0.562636599,-0.5210008961,-1.083637495,-2.850062139,-0.1060389336,-2.956101072,-0.1645342927,-0.1645342927,0,-2.454640572,-0.4940521257,-2.948692697,0.9021303447
Chandler Parsons,parsoch01,202718,Waived,F,81,230,31,ATL,1610612737,Atlanta Hawks,10/25/1988,30,8,Florida,2020,127,54,-4.701588618,-3.198079163,-7.899667781,-15.69780938,-6.242085686,-21.93989507,-7.201194365,-3.89143658,-11.09263095,-0.2317436227,-0.2317436227,0,-6.106849988,-4.512758071,-10.61960806,0.8421075882
Charles Brown Jr.,brownch02,1629718,G-League,G,78,199,4,ATL,1610612737,Atlanta Hawks,2/2/1997,22,0,,2020,87,40,-0.263481805,1.737756617,1.474274812,2.748530215,20.01950201,22.76803222,0.4929448971,5.793199268,6.286144165,0.1879148323,0.1879148323,0,0.8848208162,1.547617744,2.43243856,1.938921755
Clint Capela,capelca01,203991,Out,C,82,211,15,ATL,1610612737,Atlanta Hawks,5/18/1994,25,5,Switzerland,2020,2788,1279,-1.009240499,5.193036754,4.183796256,-0.9663923381,0.6137480704,-0.3526442677,-1.123735066,4.546559186,3.422824121,4.03229383,4.03229383,0,-0.7397203831,4.695189335,3.955468952,0.1074601369
Damian Jones,jonesda03,1627745,,C,83,245,30,ATL,1610612737,Atlanta Hawks,6/30/1995,24,3,Vanderbilt,2020,1935,887,-1.359048028,-1.708670286,-3.067718315,-1.777641197,-6.06121724,-7.838858438,-1.538268304,-2.654379896,-4.192648199,-0.6491069968,-0.6491069968,0,-1.533747405,-2.26000227,-3.793749674,-0.5874337742
De'Andre Hunter,huntede01,1629631,Starter,SF,79,225,12,ATL,1610612737,Atlanta Hawks,12/2/1997,21,0,Virginia,2020,4371,2018,-2.940224847,-1.480714587,-4.420939435,0.006109288561,-0.6074865508,-0.6013772623,-2.475095157,-1.322802318,-3.797897474,-1.079141459,-1.079141459,0,-2.342567937,-1.214253129,-3.556821066,0.02301333259
DeAndre' Bembry,bembrde01,1627761,Out,G-F,77,210,95,ATL,1610612737,Atlanta Hawks,7/4/1994,25,3,"St. Joseph's, PA",2020,2015,915,-3.242510929,2.425561793,-0.8169491362,-6.760716692,1.386194081,-5.374522611,-4.165132202,2.429727326,-1.735404876,0.4756652915,0.4756652915,0,-3.413811627,2.048570749,-1.365240877,0.4347815546
Dewayne Dedmon,dedmode01,203473,Starter,C,84,245,13,ATL,1610612737,Atlanta Hawks,8/12/1989,30,6,USC,2020,1617,774,-5.868332243,3.611561926,-2.256770316,-1.41731145,0.7055535029,-0.7117579472,-5.281065669,3.252606766,-2.028458903,0.2824260008,0.2824260008,0,-4.501662963,2.52117869,-1.980484273,0.2481620103
Jeff Teague,teaguje01,201952,,G,75,181,0,ATL,1610612737,Atlanta Hawks,6/10/1988,31,10,Wake Forest,2020,3182,1464,0.3052129147,-3.493645503,-3.188432588,-0.7612887064,-2.031836681,-2.793125387,0.1386369887,-3.368954924,-3.230317935,-0.3583181469,-0.3583181469,0,-1.073263919,-3.410554059,-4.483817977,-0.2234792166
John Collins,collijo01,1628381,Starter,PF,81,235,20,ATL,1610612737,Atlanta Hawks,9/23/1997,22,2,Wake Forest,2020,2962,1363,0.3294842095,-0.6691612457,-0.3396770362,-1.790008722,1.00307891,-0.786929812,-0.02889240675,-0.2953286619,-0.3242210686,1.689409608,1.689409608,0,0.6168843666,-0.3030643253,0.3138200413,0.1521819152
